"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
2;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"S2";;;
3;"J3";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Conn_Dynamixel";;;
4;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Rx_LED";;;
5;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
6;"J6";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"LED_JST";;;
7;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
8;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_4";;;
9;"J7";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"I2C_JST";;;
10;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120";;;
11;"J2";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_RoboClaw";;;
12;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1u";;;
13;"U4";"BUCK12-5";1;"Buck 12V - 5V";;;
14;"R2,R1,R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
15;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
16;"J5";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"12V in";;;
17;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Tx_LED";;;
18;"R10,R9,R7,R6,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"68";;;
19;"U3";"VSSOP-8_3x3mm_P0.65mm";1;"74LVC2G241";;;
20;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"S0";;;
21;"U1";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
22;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"S1";;;
23;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02_Pin";;;
