Comment,Designator,Footprint,LCSC
"22p","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"0.1u","C3","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"1u","C4","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"Rx_LED","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"Tx_LED","D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"S0","D3","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"S1","D4","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"S2","D5","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"Raspberry_Pi_4","J1","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"Conn_RoboClaw","J2","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"Conn_Dynamixel","J3","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"Conn_01x02_Pin","J4","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"12V in","J5","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"LED_JST","J6","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",""
"I2C_JST","J7","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",""
"10k","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"120","R5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"68","R6,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"47","R8,R9,R10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"MCP2515-xSO","U1","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm",""
"SN65HVD230","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"74LVC2G241","U3","Package_SO:VSSOP-8_3x3mm_P0.65mm",""
"Buck 12V - 5V","U4","components:BUCK12-5",""
"8MHz","Y1","Crystal:Crystal_HC49-4H_Vertical",""
